project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
FFmpeg/FFmpeg,Scripting_Dynamic_Disallow_Managed,17,0,0,0,0,0,0,0,0,601,3,2408
FelisCatus/SwitchyOmega,Scripting_Dynamic_Allow_Managed,584,327,4,5,16,302,126,9,192,8033,2,1436
Flipboard/FLEX,Procedural_Static_Allow_Unmanaged,1724,254,6,1,16,231,110,1,143,35093,68,2011
FriendsOfPHP/PHP-CS-Fixer,Scripting_Dynamic_Allow_Managed,15214,3760,34,11,165,3550,1437,21,2302,320059,247,2762
Genymobile/scrcpy,Procedural_Static_Allow_Unmanaged,1123,285,1,25,36,223,192,9,84,16031,20,727
Genymobile/scrcpy,Procedural_Static_Disallow_Managed,325,82,0,0,10,72,69,0,13,4339,9,723
GoogleCloudPlatform/microservices-demo,Procedural_Static_Disallow_Managed,429,72,0,0,6,66,51,0,21,38156,18,429
GoogleCloudPlatform/microservices-demo,Scripting_Dynamic_Allow_Managed,53,15,0,0,2,13,10,0,5,674,7,334
GoogleCloudPlatform/microservices-demo,Scripting_Dynamic_Disallow_Managed,68,10,0,0,5,5,6,0,4,5952,9,463
HangfireIO/Hangfire,Procedural_Static_Disallow_Managed,10888,1231,16,97,57,1061,576,60,595,182204,97,2310
HangfireIO/Hangfire,Scripting_Dynamic_Allow_Managed,262,24,0,0,1,23,8,1,15,115055,10,2265
HangfireIO/Hangfire,Scripting_Dynamic_Disallow_Managed,10,2,0,0,0,2,0,0,2,283,2,140
HeroTransitions/Hero,Functional_Static_Disallow_Managed,1080,351,0,9,1,341,168,6,177,15025,54,1046
Homebrew/brew,Functional_Static_Disallow_Managed,10,5,0,0,0,5,4,0,1,164,3,858
Homebrew/brew,Scripting_Dynamic_Disallow_Managed,32926,5069,65,45,126,4833,2222,65,2782,319206,661,3856
Homebrew/homebrew-cask,Scripting_Dynamic_Disallow_Managed,113085,5501,47,23,93,5338,2663,12,2826,332472,7266,2832
Homebrew/homebrew-core,Scripting_Dynamic_Disallow_Managed,181900,12278,32,47,499,11700,4615,46,7617,841651,10748,3841
IBAnimatable/IBAnimatable,Functional_Static_Disallow_Managed,5782,1155,0,6,133,1016,557,9,589,52474,42,1454
IBM-Swift/Kitura,Functional_Static_Disallow_Managed,1721,263,4,2,13,244,190,3,70,43215,79,1367
IdentityServer/IdentityServer4,Procedural_Static_Disallow_Managed,9772,394,7,0,9,378,167,3,224,158846,88,1480
IdentityServer/IdentityServer4,Scripting_Dynamic_Allow_Managed,504,2,0,0,0,2,0,0,2,569120,3,1435
Instagram/IGListKit,Functional_Static_Disallow_Managed,708,130,0,13,0,117,125,0,5,5829,41,1135
Instagram/IGListKit,Procedural_Static_Allow_Unmanaged,2045,531,8,19,25,479,438,0,93,25580,114,1149
Intervention/image,Scripting_Dynamic_Allow_Managed,1588,402,0,0,3,399,58,36,308,26936,88,2477
JakeWharton/butterknife,Procedural_Static_Disallow_Managed,2111,132,0,0,18,114,75,15,42,42841,57,2438
JamesNK/Newtonsoft.Json,Procedural_Static_Disallow_Managed,11547,3704,11,80,29,3584,2104,150,1450,414797,103,4463
JeffreySu/WeiXinMPSDK,Procedural_Static_Disallow_Managed,21890,152,0,0,0,152,99,0,53,406833,130,2519
JeffreySu/WeiXinMPSDK,Scripting_Dynamic_Allow_Managed,523,4,0,0,0,4,4,0,0,228543,8,2500
JeremySkinner/FluentValidation,Procedural_Static_Disallow_Managed,4357,722,3,6,47,666,231,2,489,78726,122,3635
JohnCoates/Aerial,Functional_Static_Disallow_Managed,742,214,4,0,38,172,101,0,113,21822,11,1501
KnightOS/KnightOS,Procedural_Static_Disallow_Managed,58,18,0,0,1,17,9,5,4,1205,2,223
Kong/kong,Procedural_Dynamic_Allow_Managed,15167,3411,58,76,268,3009,1812,93,1506,394216,164,1849
Kong/kong,Scripting_Dynamic_Allow_Managed,9,1,0,0,0,1,1,0,0,187,5,450
Kong/kong,Scripting_Dynamic_Disallow_Managed,15,0,0,0,0,0,0,0,0,451,1,68
Leonidas-from-XIV/node-xml2js,Scripting_Dynamic_Allow_Managed,377,87,0,0,2,85,42,0,45,4733,50,3334
MahApps/MahApps.Metro,Procedural_Static_Disallow_Managed,4789,1073,16,12,82,963,499,8,566,132375,168,3234
Mantle/Mantle,Procedural_Static_Allow_Unmanaged,1430,224,1,0,20,203,105,1,118,21308,53,2062
MaterialDesignInXAML/MaterialDesignInXamlToolkit,Procedural_Static_Disallow_Managed,1659,320,1,9,13,297,190,4,126,46826,86,1764
MonoGame/MonoGame,Procedural_Static_Disallow_Managed,20147,5469,45,245,411,4768,2940,250,2279,713740,375,3738
Moya/Moya,Functional_Static_Disallow_Managed,3755,571,0,10,25,536,302,15,254,96772,115,1789
Moya/Moya,Procedural_Static_Allow_Unmanaged,2633,64,0,0,0,64,60,1,3,53517,10,913
NancyFx/Nancy,Procedural_Static_Disallow_Managed,11854,1776,25,50,99,1602,794,32,950,207187,329,3221
NancyFx/Nancy,Scripting_Dynamic_Allow_Managed,70,7,0,0,0,7,6,0,1,4856,8,1842
NancyFx/Nancy,Scripting_Dynamic_Disallow_Managed,65,12,0,0,0,12,6,0,6,868,11,2246
NationalSecurityAgency/ghidra,Procedural_Static_Allow_Unmanaged,523,94,0,3,35,56,22,6,66,135650,16,244
NationalSecurityAgency/ghidra,Procedural_Static_Disallow_Managed,15325,2556,1,61,114,2380,1302,729,525,2085466,42,260
NationalSecurityAgency/ghidra,Scripting_Dynamic_Disallow_Managed,50,12,0,0,2,10,7,0,5,14515,9,199
NativeScript/NativeScript,Procedural_Static_Allow_Unmanaged,35,2,0,0,1,1,1,0,1,751,8,1267
NativeScript/NativeScript,Procedural_Static_Disallow_Managed,382,88,0,0,20,68,43,0,45,24113,36,1582
NativeScript/NativeScript,Scripting_Dynamic_Allow_Managed,247,45,0,0,1,44,23,1,21,16902,30,1736
Netflix/Hystrix,Procedural_Static_Disallow_Managed,3307,453,9,95,27,322,247,6,200,163335,95,2215
Netflix/Hystrix,Scripting_Dynamic_Allow_Managed,29,11,0,2,1,8,6,0,5,1006,12,1859
Netflix/atlas,Functional_Static_Disallow_Managed,5228,1666,2,22,177,1465,1351,34,281,67990,18,1824
Netflix/atlas,Procedural_Static_Disallow_Managed,69,23,0,0,7,16,20,0,3,898,4,1756
NickeManarin/ScreenToGif,Procedural_Static_Disallow_Managed,3130,773,1,5,11,756,452,43,278,206413,27,2239
OpenEmu/OpenEmu,Functional_Static_Disallow_Managed,164,35,0,0,0,35,19,1,15,6200,8,1466
OpenEmu/OpenEmu,Procedural_Static_Allow_Unmanaged,28586,3923,23,106,244,3550,2505,57,1361,2079114,86,3960
OpenKore/openkore,Procedural_Static_Allow_Unmanaged,9107,302,5,12,13,272,102,4,196,1144389,26,5626
OpenKore/openkore,Procedural_Static_Disallow_Managed,169,20,0,0,0,20,6,0,14,11335,4,3481
OpenKore/openkore,Scripting_Dynamic_Allow_Managed,38647,5288,71,118,171,4928,2585,123,2580,4004120,124,5868
OpenKore/openkore,Scripting_Dynamic_Disallow_Managed,7704,378,0,0,0,378,196,0,182,776349,12,4829
OpenNMT/OpenNMT,Procedural_Dynamic_Allow_Managed,2714,471,5,15,46,405,132,16,323,59729,44,838
OpenNMT/OpenNMT,Scripting_Dynamic_Disallow_Managed,53,2,0,0,0,2,1,0,1,2526,13,619
OpenRA/OpenRA,Procedural_Dynamic_Allow_Managed,1366,285,20,11,11,243,98,0,187,38916,40,2144
OpenRA/OpenRA,Procedural_Static_Allow_Unmanaged,321,59,0,0,10,49,23,0,36,7056,6,2320
