project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
ansible/ansible,Scripting_Dynamic_Allow_Managed,351,50,0,0,0,50,16,2,32,4963,18,2729
ansible/ansible,Scripting_Dynamic_Disallow_Managed,76098,29472,396,183,546,28347,14719,327,14426,2585532,4828,2866
ant-design/ant-design,Scripting_Dynamic_Allow_Managed,6527,1748,45,3,29,1671,498,24,1226,83636,297,1676
ant-design/ant-design-pro,Scripting_Dynamic_Allow_Managed,3992,1282,8,1,18,1255,528,12,742,60594,198,830
antirez/redis,Procedural_Static_Allow_Unmanaged,10996,3098,60,120,577,2341,1674,93,1331,345843,341,3915
antirez/redis,Scripting_Dynamic_Disallow_Managed,272,61,0,1,3,57,28,0,33,7434,19,3619
apache/dubbo,Procedural_Static_Allow_Unmanaged,14,2,0,0,0,2,1,0,1,2420,1,97
apache/dubbo,Procedural_Static_Disallow_Managed,27660,3017,22,66,124,2805,1465,186,1366,814582,298,2973
apache/incubator-apisix,Procedural_Dynamic_Allow_Managed,888,185,0,9,28,148,115,2,68,16778,21,244
apache/incubator-apisix,Scripting_Dynamic_Allow_Managed,42,7,0,0,2,5,4,0,3,399,7,213
apache/incubator-mxnet,Functional_Static_Disallow_Managed,2126,550,10,11,139,390,273,13,264,51900,58,1429
apache/incubator-mxnet,Procedural_Static_Allow_Unmanaged,11393,5056,61,128,357,4510,2585,269,2202,424273,398,1685
apache/incubator-mxnet,Procedural_Static_Disallow_Managed,117,23,0,0,0,23,12,3,8,7329,10,1310
apache/incubator-mxnet,Scripting_Dynamic_Allow_Managed,745,285,1,0,14,270,133,2,150,66450,38,1302
apache/incubator-mxnet,Scripting_Dynamic_Disallow_Managed,10363,4765,74,90,136,4465,2283,92,2390,386177,604,1627
apache/incubator-weex,Procedural_Static_Allow_Unmanaged,13259,2663,36,204,111,2312,1723,103,837,704221,171,1276
apache/incubator-weex,Procedural_Static_Disallow_Managed,14430,2579,35,78,104,2362,2383,55,141,479642,128,1325
apache/incubator-weex,Scripting_Dynamic_Allow_Managed,9465,1753,10,8,12,1723,700,4,1049,1594537,82,1297
apache/incubator-weex,Scripting_Dynamic_Disallow_Managed,67,0,0,0,0,0,0,0,0,22205,7,452
apache/openwhisk,Functional_Static_Disallow_Managed,7612,1045,32,63,134,816,687,8,350,180063,122,1387
apache/openwhisk,Procedural_Static_Allow_Unmanaged,11,2,0,0,0,2,2,0,0,31,5,574
apache/openwhisk,Procedural_Static_Disallow_Managed,1028,222,1,8,24,189,92,0,130,34558,50,1327
apache/openwhisk,Scripting_Dynamic_Allow_Managed,393,55,1,0,0,54,35,0,20,11399,49,1322
apache/openwhisk,Scripting_Dynamic_Disallow_Managed,293,59,1,0,1,57,25,0,34,5300,40,1329
apache/predictionio,Functional_Static_Disallow_Managed,9656,913,38,9,8,858,333,35,545,201771,77,2468
apache/predictionio,Procedural_Static_Disallow_Managed,1141,39,0,0,0,39,7,0,32,9658,13,1634
apache/predictionio,Scripting_Dynamic_Allow_Managed,542,16,0,0,0,16,10,1,5,67319,11,1634
apache/predictionio,Scripting_Dynamic_Disallow_Managed,414,46,0,0,2,44,36,1,9,7929,30,2029
apache/spark,Functional_Static_Disallow_Managed,86113,22245,553,1026,2095,18571,20075,362,1808,1712826,1832,3538
apache/spark,Procedural_Static_Allow_Unmanaged,26,0,0,0,0,0,0,0,0,49,4,1651
apache/spark,Procedural_Static_Disallow_Managed,8606,1885,15,111,257,1502,1708,28,149,315814,428,3537
apache/spark,Scripting_Dynamic_Allow_Managed,209,52,2,2,2,46,48,0,4,10295,63,3296
apache/spark,Scripting_Dynamic_Disallow_Managed,6289,1481,33,61,61,1326,1356,12,113,158386,546,3403
apollographql/apollo-client,Scripting_Dynamic_Allow_Managed,363,60,0,0,0,60,44,0,16,28119,31,1357
apple/swift,Functional_Static_Disallow_Managed,132740,24359,1647,121,1848,20743,21065,411,2883,1597909,665,3432
apple/swift,Procedural_Static_Allow_Unmanaged,143459,27156,461,233,1705,24757,21042,955,5159,2531290,580,3433
apple/swift,Scripting_Dynamic_Allow_Managed,9,2,0,0,0,2,1,0,1,719,7,2179
apple/swift,Scripting_Dynamic_Disallow_Managed,2711,612,1,5,26,580,363,12,237,57305,162,2695
apple/swift-package-manager,Functional_Static_Disallow_Managed,11841,1810,20,16,65,1709,1135,39,636,165782,236,1501
apple/swift-package-manager,Procedural_Static_Allow_Unmanaged,114,6,0,0,0,6,5,0,1,857,10,1288
aria2/aria2,Procedural_Static_Allow_Unmanaged,29652,4040,36,7,432,3565,2175,157,1708,464276,34,4984
aria2/aria2,Scripting_Dynamic_Disallow_Managed,14,2,0,0,0,2,1,0,1,576,2,2103
arut/nginx-rtmp-module,Procedural_Static_Allow_Unmanaged,1407,398,2,1,21,374,174,4,220,51485,10,2029
aspnet/AspNetCore,Procedural_Static_Allow_Unmanaged,4318,352,20,27,41,264,227,6,119,265968,21,1184
aspnet/AspNetCore,Procedural_Static_Disallow_Managed,173068,20542,190,451,1231,18670,11088,355,9099,3490406,673,2190
aspnet/AspNetCore,Scripting_Dynamic_Allow_Managed,4435,512,0,4,12,496,166,1,345,820537,78,2129
aspnet/AspNetCore,Scripting_Dynamic_Disallow_Managed,197,1,0,0,0,1,0,0,1,16847,6,389
aspnet/AspNetCore.Docs,Procedural_Static_Disallow_Managed,18678,2402,1,212,64,2125,1197,26,1179,380193,238,1712
aspnet/AspNetCore.Docs,Scripting_Dynamic_Allow_Managed,6492,677,4,0,8,665,466,8,203,2673901,57,1708
aspnet/AspNetCore.Docs,Scripting_Dynamic_Disallow_Managed,92,5,0,0,0,5,2,0,3,1729,11,626
aspnet/EntityFrameworkCore,Procedural_Static_Disallow_Managed,94379,21051,334,278,1244,19195,14814,375,5862,2134172,214,2147
aspnet/Mvc,Procedural_Static_Disallow_Managed,40342,8071,94,17,605,7355,4632,125,3314,745148,196,1810
aspnet/Mvc,Scripting_Dynamic_Allow_Managed,55,7,0,0,0,7,0,0,7,443,12,1230
aspnetboilerplate/aspnetboilerplate,Procedural_Static_Disallow_Managed,16842,4221,12,17,186,4006,2335,9,1877,236066,127,2305
aspnetboilerplate/aspnetboilerplate,Scripting_Dynamic_Allow_Managed,1779,221,0,0,5,216,177,2,42,494310,27,2304
astaxie/beego,Procedural_Static_Disallow_Managed,6842,1542,6,11,40,1485,572,1,969,304645,394,2814
atom/vim-mode,Scripting_Dynamic_Allow_Managed,1502,370,7,17,13,333,183,2,185,19176,84,1020
awesomeWM/awesome,Procedural_Dynamic_Allow_Managed,4747,1250,10,10,58,1172,845,5,400,90290,159,4222
awesomeWM/awesome,Procedural_Static_Allow_Unmanaged,11793,1548,10,17,163,1358,1181,10,357,129882,126,4459
awesomeWM/awesome,Scripting_Dynamic_Disallow_Managed,15,0,0,0,0,0,0,0,0,381,2,53
axios/axios,Scripting_Dynamic_Allow_Managed,1060,208,5,0,9,194,91,1,116,47001,123,1938
axkibe/lsyncd,Procedural_Dynamic_Allow_Managed,686,150,0,0,1,149,49,13,88,23786,19,2702
axkibe/lsyncd,Procedural_Static_Allow_Unmanaged,345,62,0,3,3,56,22,4,36,15740,5,3569
babel/babel,Scripting_Dynamic_Allow_Managed,74572,12231,105,50,311,11765,5340,193,6698,903557,707,2634
bang590/JSPatch,Procedural_Static_Allow_Unmanaged,760,169,0,2,19,148,88,18,63,40447,50,1038
bang590/JSPatch,Scripting_Dynamic_Allow_Managed,183,38,0,0,1,37,19,10,9,6733,29,1038
barryvdh/laravel-debugbar,Scripting_Dynamic_Allow_Managed,864,227,1,0,21,205,95,57,75,11568,94,2283
barryvdh/laravel-ide-helper,Scripting_Dynamic_Allow_Managed,488,163,2,0,6,155,90,1,72,19303,114,2396
basecamp/pow,Scripting_Dynamic_Allow_Managed,787,82,5,1,4,72,28,0,54,13189,16,2655
basecamp/trix,Scripting_Dynamic_Allow_Managed,4906,836,1,7,65,763,422,9,405,75790,20,2112
basecamp/trix,Scripting_Dynamic_Disallow_Managed,46,1,0,0,0,1,0,0,1,751,2,597
bcit-ci/CodeIgniter,Scripting_Dynamic_Allow_Managed,15972,3693,36,35,106,3516,1633,37,2023,287899,526,4811
bcit-ci/CodeIgniter,Scripting_Dynamic_Disallow_Managed,75,4,0,0,0,4,2,0,2,513,15,2905
bergie/hallo,Scripting_Dynamic_Allow_Managed,1029,250,6,2,7,235,109,5,136,101765,28,2040
beyondgrep/ack1,Scripting_Dynamic_Allow_Managed,591,72,1,0,1,70,37,1,34,5527,24,2088
beyondgrep/ack2,Scripting_Dynamic_Allow_Managed,898,108,2,0,1,105,46,2,60,13148,38,2966
bilibili/ijkplayer,Procedural_Static_Allow_Unmanaged,4329,495,5,21,72,397,190,15,290,95974,45,1702
bilibili/ijkplayer,Procedural_Static_Disallow_Managed,876,61,0,0,0,61,46,0,15,17653,21,1702
bitcoin/bitcoin,Procedural_Static_Allow_Unmanaged,32012,5421,66,355,566,4434,3382,162,1877,581049,618,3754
bitcoin/bitcoin,Scripting_Dynamic_Disallow_Managed,4996,532,6,42,22,462,335,1,196,72697,210,3097
blueimp/jQuery-File-Upload,Procedural_Static_Disallow_Managed,28,2,0,0,0,2,2,0,0,1033,3,2517
blueimp/jQuery-File-Upload,Scripting_Dynamic_Allow_Managed,1021,270,0,3,6,261,140,12,118,54881,90,3279
blueimp/jQuery-File-Upload,Scripting_Dynamic_Disallow_Managed,24,0,0,0,0,0,0,0,0,356,2,1918
brendangregg/FlameGraph,Scripting_Dynamic_Allow_Managed,217,45,0,3,2,40,18,2,25,4322,50,2869
briannesbitt/Carbon,Scripting_Dynamic_Allow_Managed,12973,3404,0,0,63,3341,916,5,2483,399243,240,2650
briansmith/ring,Procedural_Static_Allow_Unmanaged,19688,3221,272,71,412,2466,1266,47,1908,555358,118,1872
briansmith/ring,Procedural_Static_Disallow_Managed,2101,363,50,10,44,259,151,0,212,80038,32,1812
briansmith/ring,Scripting_Dynamic_Allow_Managed,1174,247,2,0,16,229,76,3,168,64958,15,1849
briansmith/ring,Scripting_Dynamic_Disallow_Managed,268,23,2,0,0,21,14,0,9,12632,25,1609
bumptech/glide,Procedural_Static_Disallow_Managed,15532,2999,23,196,296,2484,1734,52,1213,287178,141,2537
caddyserver/caddy,Procedural_Static_Disallow_Managed,8718,2819,6,62,39,2712,688,19,2112,934174,264,1786
capistrano/capistrano,Scripting_Dynamic_Allow_Managed,106,3,0,0,0,3,3,0,0,33696,4,1565
capistrano/capistrano,Scripting_Dynamic_Disallow_Managed,1419,494,0,6,19,469,180,0,314,14470,127,2430
carrierwaveuploader/carrierwave,Scripting_Dynamic_Disallow_Managed,2776,555,2,25,72,456,269,5,281,37531,286,4047
ccgus/fmdb,Functional_Static_Disallow_Managed,10,0,0,0,0,0,0,0,0,236,4,1750
ccgus/fmdb,Procedural_Static_Allow_Unmanaged,710,144,4,8,7,125,87,6,51,16260,67,3124
cdr/code-server,Scripting_Dynamic_Allow_Managed,269,74,0,2,5,67,33,0,41,16851,9,295
cefsharp/CefSharp,Procedural_Static_Allow_Unmanaged,5907,883,6,6,52,819,411,7,465,94934,104,3291
cefsharp/CefSharp,Procedural_Static_Disallow_Managed,6354,1053,6,20,57,970,449,14,590,81170,128,3290
certbot/certbot,Procedural_Static_Allow_Unmanaged,12,0,0,0,0,0,0,0,0,161,2,1293
certbot/certbot,Scripting_Dynamic_Disallow_Managed,14675,2786,46,28,43,2669,1126,47,1613,186246,290,2752
chaplinjs/chaplin,Scripting_Dynamic_Allow_Managed,2893,314,2,3,3,306,206,4,104,90850,61,2606
chaplinjs/chaplin,Scripting_Dynamic_Disallow_Managed,13,0,0,0,0,0,0,0,0,253,2,146
chartjs/Chart.js,Scripting_Dynamic_Allow_Managed,4874,1204,20,1,27,1156,687,35,482,474429,229,2456
chocolatey/choco,Procedural_Static_Disallow_Managed,4080,812,2,37,51,722,570,8,234,67983,49,2169
chrisbanes/PhotoView,Procedural_Static_Disallow_Managed,560,113,0,3,8,102,50,6,57,10583,36,2325
chubin/cheat.sh,Scripting_Dynamic_Disallow_Managed,379,44,0,0,3,41,19,1,24,9203,11,895
cjdelisle/cjdns,Procedural_Dynamic_Allow_Managed,50,1,0,0,0,1,0,0,1,1214,7,807
cjdelisle/cjdns,Procedural_Static_Allow_Unmanaged,13249,1714,54,24,237,1399,1006,26,682,329455,98,3092
cjdelisle/cjdns,Scripting_Dynamic_Allow_Managed,741,95,0,0,3,92,49,1,45,39872,53,2659
cjdelisle/cjdns,Scripting_Dynamic_Disallow_Managed,698,22,0,0,0,22,12,0,10,53329,27,2243
cloudwu/skynet,Procedural_Dynamic_Allow_Managed,1737,304,0,11,22,271,126,32,146,34903,61,2684
cloudwu/skynet,Procedural_Static_Allow_Unmanaged,2104,346,0,8,50,288,166,50,130,89524,53,2675
cmusatyalab/openface,Procedural_Dynamic_Allow_Managed,238,54,1,0,16,37,4,0,50,6018,3,379
cmusatyalab/openface,Scripting_Dynamic_Allow_Managed,46,0,0,0,0,0,0,0,0,13465,5,1464
cmusatyalab/openface,Scripting_Dynamic_Disallow_Managed,403,79,2,0,19,58,12,0,67,6669,19,928
cockroachdb/cockroach,Procedural_Static_Allow_Unmanaged,2430,467,46,27,84,310,329,42,96,23904,54,1957
cockroachdb/cockroach,Procedural_Static_Disallow_Managed,104550,23054,818,1110,2258,18868,17572,682,4800,3213200,297,2128
cockroachdb/cockroach,Scripting_Dynamic_Allow_Managed,470,67,0,1,2,64,42,3,22,176925,35,1796
cockroachdb/cockroach,Scripting_Dynamic_Disallow_Managed,107,20,0,0,1,19,9,0,11,2402,26,1447
cocos2d/cocos2d-x,Procedural_Dynamic_Allow_Managed,9710,424,5,0,13,406,251,0,173,272339,97,3100
cocos2d/cocos2d-x,Procedural_Static_Allow_Unmanaged,123492,25896,165,1458,1823,22450,13774,335,11787,7662521,796,3444
cocos2d/cocos2d-x,Procedural_Static_Disallow_Managed,2015,625,0,45,13,567,474,10,141,69802,122,3288
cocos2d/cocos2d-x,Scripting_Dynamic_Allow_Managed,3239,694,4,25,24,641,485,6,203,277005,85,3076
cocos2d/cocos2d-x,Scripting_Dynamic_Disallow_Managed,1159,233,1,0,6,226,139,2,92,53475,78,3076
codecombat/codecombat,Scripting_Dynamic_Allow_Managed,37331,6175,72,100,329,5674,2801,131,3243,1192368,782,2167
codecombat/codecombat,Scripting_Dynamic_Disallow_Managed,134,34,0,0,0,34,20,0,14,2512,17,1666
commaai/openpilot,Procedural_Static_Allow_Unmanaged,2348,135,1,0,0,134,88,2,45,384745,16,1086
commaai/openpilot,Scripting_Dynamic_Disallow_Managed,2913,260,1,0,4,255,155,11,94,134690,65,1078
composer/composer,Scripting_Dynamic_Allow_Managed,11055,4117,24,37,179,3877,1812,546,1759,141552,732,3163
containous/traefik,Procedural_Static_Allow_Unmanaged,10,1,0,0,0,1,1,0,0,171,5,909
containous/traefik,Procedural_Static_Disallow_Managed,34376,4100,7,11,64,4018,2931,3,1166,3801405,267,1552
containous/traefik,Scripting_Dynamic_Allow_Managed,270,4,0,0,0,4,3,0,1,7100,18,1537
ctripcorp/apollo,Procedural_Static_Disallow_Managed,5413,560,6,9,23,522,269,62,229,100241,64,1366
ctripcorp/apollo,Scripting_Dynamic_Allow_Managed,724,134,1,5,2,126,64,22,48,44489,17,1349
curl/curl,Procedural_Static_Allow_Unmanaged,31121,10240,124,210,1613,8293,4242,131,5867,470778,599,7273
curl/curl,Scripting_Dynamic_Allow_Managed,1718,377,4,7,25,341,178,8,191,35040,75,7273
curl/curl,Scripting_Dynamic_Disallow_Managed,47,3,0,0,1,2,1,0,2,20697,12,2431
d3/d3,Scripting_Dynamic_Allow_Managed,11002,3474,49,41,144,3240,1680,67,1727,248648,98,3339
danielgindi/Charts,Functional_Static_Disallow_Managed,4878,990,18,5,25,942,561,21,408,84349,134,1696
danielgindi/Charts,Procedural_Static_Allow_Unmanaged,1658,168,0,1,0,167,113,0,55,31991,27,1450
deepfakes/faceswap,Scripting_Dynamic_Disallow_Managed,2358,1013,8,23,31,951,698,13,302,84517,67,723
denoland/deno,Procedural_Static_Allow_Unmanaged,584,110,0,0,22,88,74,8,28,7759,17,545
denoland/deno,Procedural_Static_Disallow_Managed,165,9,0,0,0,9,0,2,7,1988,10,39
denoland/deno,Scripting_Dynamic_Allow_Managed,386,58,0,0,1,57,40,0,18,65302,29,572
denoland/deno,Scripting_Dynamic_Disallow_Managed,724,99,0,3,6,90,67,0,32,8701,37,543
diaspora/diaspora,Scripting_Dynamic_Allow_Managed,6563,1075,11,21,51,992,513,19,543,158509,177,3412
diaspora/diaspora,Scripting_Dynamic_Disallow_Managed,25879,3910,69,270,194,3377,1687,18,2205,211196,333,3415
dibyendumajumdar/ravi,Procedural_Dynamic_Allow_Managed,398,68,1,0,2,65,28,0,40,24562,5,1792
dibyendumajumdar/ravi,Procedural_Static_Allow_Unmanaged,3555,521,3,0,34,484,279,1,241,174866,7,1793
dingo/api,Scripting_Dynamic_Allow_Managed,2507,680,0,4,10,666,408,97,175,43206,107,2027
discourse/discourse,Scripting_Dynamic_Allow_Managed,35660,10824,162,76,586,10000,5369,133,5322,1290814,237,2499
discourse/discourse,Scripting_Dynamic_Disallow_Managed,44944,16898,255,233,3035,13375,7863,229,8806,503314,494,2979
django/django,Scripting_Dynamic_Allow_Managed,737,416,1,0,23,392,247,16,153,62967,79,5248
django/django,Scripting_Dynamic_Disallow_Managed,63590,37226,239,475,1371,35141,19316,327,17583,818107,1609,5264
dmlc/xgboost,Functional_Static_Disallow_Managed,771,266,8,3,2,253,102,0,164,16891,51,1410
dmlc/xgboost,Procedural_Static_Allow_Unmanaged,4256,912,36,10,99,767,428,28,456,112922,113,2133
dmlc/xgboost,Procedural_Static_Disallow_Managed,410,81,3,9,0,69,46,0,35,11070,29,1889
dmlc/xgboost,Scripting_Dynamic_Disallow_Managed,1197,312,8,2,15,287,139,5,168,26443,179,2115
dmotz/oriDomi,Scripting_Dynamic_Allow_Managed,554,67,0,0,3,64,29,1,37,9381,4,1297
docker/compose,Scripting_Dynamic_Disallow_Managed,5846,1219,20,43,38,1118,1006,1,212,74603,268,2176
docpad/docpad,Scripting_Dynamic_Allow_Managed,2029,602,1,1,20,580,323,87,192,66641,39,2748
doczjs/docz,Scripting_Dynamic_Allow_Managed,1036,261,12,0,5,244,138,10,113,11333,32,634
domnikl/DesignPatternsPHP,Scripting_Dynamic_Allow_Managed,2226,319,4,1,1,313,234,7,78,16041,109,2944
domnikl/DesignPatternsPHP,Scripting_Dynamic_Disallow_Managed,11,4,0,0,0,4,1,0,3,299,2,1598
donnemartin/interactive-coding-challenges,Scripting_Dynamic_Disallow_Managed,1822,358,2,0,1,355,40,0,318,66103,40,1226
dotnet-architecture/eShopOnContainers,Procedural_Static_Disallow_Managed,7814,1128,2,28,26,1072,523,8,597,177204,99,1169
dotnet-architecture/eShopOnContainers,Scripting_Dynamic_Allow_Managed,437,19,0,0,0,19,10,0,9,176876,16,978
dotnet/BenchmarkDotNet,Procedural_Static_Disallow_Managed,9328,2920,48,38,127,2707,1379,90,1451,114477,97,2300
dotnet/BenchmarkDotNet,Scripting_Dynamic_Allow_Managed,23,0,0,0,0,0,0,0,0,621,3,923
dotnet/machinelearning,Procedural_Static_Allow_Unmanaged,80,22,1,0,9,12,7,0,15,7558,14,579
dotnet/machinelearning,Procedural_Static_Disallow_Managed,23493,3235,40,39,87,3069,1618,6,1611,441780,117,585
dotnet/orleans,Procedural_Static_Disallow_Managed,25167,3339,86,134,219,2900,2054,53,1232,501115,225,1782
dotnet/roslyn,Procedural_Static_Allow_Unmanaged,236,52,0,0,1,51,44,0,8,16366,11,888
dotnet/roslyn,Procedural_Static_Disallow_Managed,163351,27863,298,722,1071,25772,17080,432,10351,5176783,501,2093
drone/drone,Procedural_Static_Allow_Unmanaged,35,8,0,0,0,8,8,0,0,728434,3,1781
drone/drone,Procedural_Static_Disallow_Managed,14724,1036,8,6,23,999,303,21,712,965297,248,2132
drone/drone,Scripting_Dynamic_Allow_Managed,382,32,0,0,3,29,19,0,13,13591,14,859
dropbox/zxcvbn,Scripting_Dynamic_Allow_Managed,332,46,0,0,3,43,21,0,25,158327,18,1806
dropbox/zxcvbn,Scripting_Dynamic_Disallow_Managed,37,1,0,0,0,1,1,0,0,789,2,1350
duckduckgo/duckduckgo,Scripting_Dynamic_Allow_Managed,802,99,0,0,3,96,31,1,67,13325,33,2231
duckduckgo/zeroclickinfo-goodies,Scripting_Dynamic_Allow_Managed,6071,849,5,2,23,819,381,17,451,116307,471,2854
dzenbot/DZNEmptyDataSet,Procedural_Static_Allow_Unmanaged,1235,113,1,0,8,104,61,0,52,21345,44,1331
eczarny/spectacle,Procedural_Static_Allow_Unmanaged,1659,154,9,1,4,140,89,0,65,24987,17,3399
eczarny/spectacle,Scripting_Dynamic_Allow_Managed,79,8,0,0,0,8,6,0,2,667,3,344
elastic/elasticsearch,Procedural_Static_Disallow_Managed,284957,47194,821,2481,4868,39024,34957,640,11597,5506919,724,3593
elastic/elasticsearch,Scripting_Dynamic_Allow_Managed,150,13,0,0,0,13,9,0,4,14777,16,1828
elastic/elasticsearch,Scripting_Dynamic_Disallow_Managed,357,57,0,1,0,56,27,0,30,19954,37,2259
elastic/kibana,Functional_Static_Disallow_Managed,8,0,0,0,0,0,0,0,0,276,3,83
elastic/kibana,Procedural_Dynamic_Allow_Managed,10,0,0,0,0,0,0,0,0,154,4,433
elastic/kibana,Procedural_Static_Allow_Unmanaged,42,0,0,0,0,0,0,0,0,1457,4,433
elastic/kibana,Procedural_Static_Disallow_Managed,373,38,2,4,0,32,34,0,4,5705,9,2024
elastic/kibana,Scripting_Dynamic_Allow_Managed,193514,29933,301,615,512,28505,14216,514,15203,11225690,400,2227
elastic/kibana,Scripting_Dynamic_Disallow_Managed,153,9,0,0,0,9,4,0,5,3337,9,2009
elastic/logstash,Procedural_Static_Disallow_Managed,2959,2131,24,107,111,1889,995,260,876,72138,36,3028
elastic/logstash,Scripting_Dynamic_Allow_Managed,209,33,0,0,1,32,19,0,14,27474,7,2853
elastic/logstash,Scripting_Dynamic_Disallow_Managed,11220,4335,63,243,165,3864,2414,207,1714,183159,340,3777
electron/electron,Procedural_Static_Allow_Unmanaged,27782,5561,42,191,462,4866,2809,65,2687,300021,301,2463
electron/electron,Scripting_Dynamic_Allow_Managed,8534,1531,10,30,70,1421,731,17,783,123119,266,2432
electron/electron,Scripting_Dynamic_Disallow_Managed,1401,356,5,10,7,334,156,1,199,16686,67,2432
emscripten-core/emscripten,Procedural_Dynamic_Allow_Managed,10,0,0,0,0,0,0,0,0,587,2,2140
emscripten-core/emscripten,Procedural_Static_Allow_Unmanaged,12776,1275,2,72,107,1094,613,31,631,1614971,251,3393
emscripten-core/emscripten,Scripting_Dynamic_Allow_Managed,13333,3439,20,135,309,2975,1663,77,1699,788723,398,3394
emscripten-core/emscripten,Scripting_Dynamic_Disallow_Managed,12182,2547,21,87,265,2174,1480,53,1014,198190,314,3394
envoyproxy/envoy,Procedural_Static_Allow_Unmanaged,36513,6549,53,159,1003,5334,4023,617,1909,681128,362,1217
envoyproxy/envoy,Procedural_Static_Disallow_Managed,12,5,0,0,0,5,5,0,0,355,10,1157
envoyproxy/envoy,Scripting_Dynamic_Disallow_Managed,537,102,0,0,6,96,82,0,20,17718,81,1217
erusev/parsedown,Scripting_Dynamic_Allow_Managed,500,108,0,0,3,105,71,2,35,9121,31,2068
esp8266/Arduino,Procedural_Static_Allow_Unmanaged,5500,1596,12,53,185,1346,734,63,799,361328,299,1849
esp8266/Arduino,Scripting_Dynamic_Disallow_Managed,244,68,0,1,1,66,35,0,33,5774,49,1617
etcd-io/etcd,Procedural_Static_Allow_Unmanaged,12,1,0,0,0,1,0,0,1,91,8,1871
etcd-io/etcd,Procedural_Static_Disallow_Managed,31927,4801,91,259,199,4252,2437,37,2327,1816137,367,2378
etcd-io/etcd,Scripting_Dynamic_Allow_Managed,140,21,0,0,0,21,16,0,5,26391,7,309
etcd-io/etcd,Scripting_Dynamic_Disallow_Managed,12,0,0,0,0,0,0,0,0,441,10,2018
ethereum/go-ethereum,Procedural_Static_Allow_Unmanaged,917,38,0,0,0,38,11,0,27,290406,11,1771
ethereum/go-ethereum,Procedural_Static_Disallow_Managed,32566,6015,85,411,550,4969,3511,95,2409,2305161,461,2174
ethereum/go-ethereum,Scripting_Dynamic_Allow_Managed,1159,196,0,0,14,182,86,9,101,57285,37,2037
ethereum/go-ethereum,Scripting_Dynamic_Disallow_Managed,49,7,0,0,0,7,3,0,4,3551,11,1618
eugenp/tutorials,Functional_Static_Disallow_Managed,102,0,0,0,0,0,0,0,0,1788,11,1281
eugenp/tutorials,Procedural_Static_Disallow_Managed,47288,4162,83,223,618,3238,1677,43,2442,822712,887,2416
eugenp/tutorials,Scripting_Dynamic_Allow_Managed,2818,26,0,0,0,26,25,0,1,624793,51,1863
eugenp/tutorials,Scripting_Dynamic_Disallow_Managed,12,0,0,0,0,0,0,0,0,581,6,1831
expo/expo,Procedural_Static_Allow_Unmanaged,205264,7679,14,24,827,6814,2783,15,4881,8988946,93,1206
expo/expo,Procedural_Static_Disallow_Managed,28220,3449,19,9,107,3314,3123,9,317,1176423,103,1211
expo/expo,Scripting_Dynamic_Allow_Managed,31261,1803,2,4,34,1763,979,3,821,2254346,105,1273
expo/expo,Scripting_Dynamic_Disallow_Managed,230,33,0,13,0,20,31,0,2,3578,12,1285
expressjs/express,Scripting_Dynamic_Allow_Managed,5979,894,3,1,37,853,474,9,411,76378,201,3620
facebook/SocketRocket,Procedural_Static_Allow_Unmanaged,432,81,1,0,11,69,30,0,51,7774,55,2281
facebook/SocketRocket,Scripting_Dynamic_Disallow_Managed,19,0,0,0,0,0,0,0,0,2476,3,1592
facebook/create-react-app,Scripting_Dynamic_Allow_Managed,2931,723,2,9,22,690,392,6,325,121073,423,1243
facebook/folly,Procedural_Static_Allow_Unmanaged,27475,5344,79,560,430,4275,4920,113,311,719591,718,2778
facebook/folly,Scripting_Dynamic_Disallow_Managed,467,87,2,2,8,75,83,0,4,13134,54,2746
facebook/fresco,Procedural_Static_Allow_Unmanaged,1153,443,3,0,4,436,26,0,417,274482,31,1695
facebook/fresco,Procedural_Static_Disallow_Managed,8835,1094,9,31,251,803,542,4,548,144077,264,1719
facebook/fresco,Scripting_Dynamic_Allow_Managed,88,29,0,0,0,29,0,0,29,24311,10,1678
facebook/fresco,Scripting_Dynamic_Disallow_Managed,18,2,0,0,0,2,2,0,0,363,7,1626
facebook/hhvm,Procedural_Static_Allow_Unmanaged,139062,27957,418,1302,3224,23013,23244,881,3832,7759448,827,3597
facebook/hhvm,Scripting_Dynamic_Allow_Managed,145105,8411,138,150,599,7524,7268,101,1042,1450715,626,3596
facebook/hhvm,Scripting_Dynamic_Disallow_Managed,1645,304,6,21,39,238,280,2,22,37177,159,3582
facebook/react,Procedural_Static_Allow_Unmanaged,20,4,0,0,0,4,4,0,0,906,4,1084
facebook/react,Scripting_Dynamic_Allow_Managed,33478,7300,64,122,278,6836,5117,174,2009,921489,870,2387
facebook/react,Scripting_Dynamic_Disallow_Managed,29,12,0,0,0,12,7,0,5,461,16,1544
facebook/react-native,Procedural_Static_Allow_Unmanaged,23762,4039,74,241,456,3268,3471,100,468,376395,778,1775
facebook/react-native,Procedural_Static_Disallow_Managed,12360,1981,28,87,332,1534,1848,32,101,217881,561,1548
facebook/react-native,Scripting_Dynamic_Allow_Managed,30660,4404,75,72,611,3646,3865,38,501,1107873,1634,1771
facebook/react-native,Scripting_Dynamic_Disallow_Managed,24,4,0,0,0,4,3,0,1,701,14,1496
