project,language,commits,bcommits,tins,devs,max_commit_age
JakeWharton/butterknife,Java,2111,132,42841,57,2438
JamesNK/Newtonsoft.Json,C#,11547,3704,414797,103,4463
JeffreySu/WeiXinMPSDK,C#,21890,152,406833,130,2519
JeffreySu/WeiXinMPSDK,JavaScript,523,4,228543,8,2500
JeremySkinner/FluentValidation,C#,4357,722,78726,122,3635
JohnCoates/Aerial,Swift,742,214,21822,11,1501
KnightOS/KnightOS,Assembly,1205,227,67981,14,880
KnightOS/KnightOS,C#,58,18,1205,2,223
Kong/kong,Lua,15167,3411,394216,164,1849
Kong/kong,Perl,9,1,187,5,450
Kong/kong,Python,15,0,451,1,68
Leonidas-from-XIV/node-xml2js,CoffeeScript,227,50,2687,48,3007
Leonidas-from-XIV/node-xml2js,JavaScript,150,37,2046,41,3334
MahApps/MahApps.Metro,C#,4789,1073,132375,168,3234
Mantle/Mantle,C,466,59,6024,37,2062
Mantle/Mantle,Objective-C,964,165,15284,44,1394
MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,1659,320,46826,86,1764
MonoGame/MonoGame,C#,20147,5469,713740,375,3738
Moya/Moya,C,1915,44,20840,10,913
Moya/Moya,Objective-C,718,20,32677,7,132
Moya/Moya,Swift,3755,571,96772,115,1789
NancyFx/Nancy,C#,11854,1776,207187,329,3221
NancyFx/Nancy,JavaScript,70,7,4856,8,1842
NancyFx/Nancy,Ruby,65,12,868,11,2246
NationalSecurityAgency/ghidra,C,129,18,28080,10,205
NationalSecurityAgency/ghidra,C++,394,76,107570,13,244
NationalSecurityAgency/ghidra,Java,15325,2556,2085466,42,260
NationalSecurityAgency/ghidra,Python,50,12,14515,9,199
NativeScript/NativeScript,C,18,0,225,7,1267
NativeScript/NativeScript,Java,382,88,24113,36,1582
NativeScript/NativeScript,JavaScript,247,45,16902,30,1736
NativeScript/NativeScript,Objective-C,17,2,526,8,1267
NativeScript/NativeScript,TypeScript,18578,5183,2930724,184,2093
Netflix/Hystrix,Java,3307,453,163335,95,2215
Netflix/Hystrix,JavaScript,29,11,1006,12,1859
Netflix/atlas,Java,69,23,898,4,1756
Netflix/atlas,Scala,5228,1666,67990,18,1824
NickeManarin/ScreenToGif,C#,3130,773,206413,27,2239
OpenEmu/OpenEmu,C,10963,1196,946164,50,3948
OpenEmu/OpenEmu,C++,7261,16,835232,15,3659
OpenEmu/OpenEmu,Objective-C,10362,2711,297718,86,3960
OpenEmu/OpenEmu,Swift,164,35,6200,8,1466
OpenKore/openkore,Assembly,123,17,38964,8,3439
OpenKore/openkore,C,6297,170,932663,26,5550
OpenKore/openkore,C#,169,20,11335,4,3481
OpenKore/openkore,C++,2810,132,211726,18,5626
OpenKore/openkore,JavaScript,314,1,23477,16,4322
OpenKore/openkore,PHP,8774,36,1520981,11,4283
OpenKore/openkore,Perl,29559,5251,2459662,124,5868
OpenKore/openkore,Python,7671,378,774781,12,4829
OpenKore/openkore,Ruby,33,0,1568,6,3419
OpenNMT/OpenNMT,Lua,2714,471,59729,44,838
OpenNMT/OpenNMT,Python,53,2,2526,13,619
OpenRA/OpenRA,C,181,23,4229,6,2320
OpenRA/OpenRA,C#,58403,10056,601210,290,4555
OpenRA/OpenRA,Lua,1366,285,38916,40,2144
OpenRA/OpenRA,Objective-C,140,36,2827,2,1325
OpenRA/OpenRA,PHP,31,0,412,4,190
