project,language,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
andlabs/libui,Objective-C,1751,410,8,8,36,358,223,11,176,32586,5,1241
andlabs/libui,Swift,124,38,0,0,0,38,30,0,8,1935,1,1318
angular-ui/angular-google-maps,CoffeeScript,2582,689,2,23,14,650,391,20,278,34989,87,1262
angular-ui/angular-google-maps,JavaScript,3648,863,3,23,30,807,496,19,348,988484,81,1603
angular-ui/ui-router,JavaScript,1860,575,13,1,14,547,370,1,204,393002,139,2170
angular-ui/ui-router,TypeScript,2777,696,2,2,2,690,474,2,220,57739,60,1853
angular/angular,JavaScript,13149,2615,16,19,47,2533,1912,7,696,400105,185,1904
angular/angular,TypeScript,73897,22017,286,231,365,21135,17763,109,4145,1507639,713,1757
angular/angular-cli,JavaScript,1677,387,6,5,3,373,207,4,176,178017,96,1665
angular/angular-cli,TypeScript,11108,3614,109,22,81,3402,2062,68,1484,216450,334,1671
angular/angular.js,Java,45,4,0,0,0,4,0,1,3,2,9,2912
angular/angular.js,JavaScript,26163,9022,61,286,261,8414,6217,155,2650,646606,1182,3592
angular/angular.js,Ruby,10,1,0,0,0,1,0,0,1,71,3,1334
angular/components,JavaScript,455,122,1,0,1,120,93,1,28,7549,36,1435
angular/components,TypeScript,21987,8579,244,41,321,7973,5691,85,2803,374074,279,1435
ansible/ansible,C#,33,17,0,0,0,17,10,0,7,4522,5,750
ansible/ansible,JavaScript,351,50,0,0,0,50,16,2,32,4963,18,2729
ansible/ansible,Python,76098,29472,396,183,546,28347,14719,327,14426,2585532,4828,2866
ant-design/ant-design,JavaScript,6527,1748,45,3,29,1671,498,24,1226,83636,297,1676
ant-design/ant-design,TypeScript,6286,2386,35,0,39,2312,926,112,1348,66690,597,1328
ant-design/ant-design-pro,JavaScript,3992,1282,8,1,18,1255,528,12,742,60594,198,830
ant-design/ant-design-pro,TypeScript,785,289,0,0,0,289,143,1,145,10369,64,743
antirez/redis,C,10979,3098,60,120,577,2341,1674,93,1331,343846,341,3915
antirez/redis,C++,17,0,0,0,0,0,0,0,0,1997,1,3302
antirez/redis,Python,11,2,0,0,0,2,0,0,2,625,2,3348
antirez/redis,Ruby,261,59,0,1,3,55,28,0,31,6809,18,3616
apache/dubbo,C++,14,2,0,0,0,2,1,0,1,2420,1,97
apache/dubbo,Java,27660,3017,22,66,124,2805,1465,186,1366,814582,298,2973
apache/incubator-apisix,Lua,888,185,0,9,28,148,115,2,68,16778,21,244
apache/incubator-apisix,Perl,42,7,0,0,2,5,4,0,3,399,7,213
apache/incubator-mxnet,C,6201,2602,29,58,190,2325,1302,143,1157,255499,319,1685
apache/incubator-mxnet,C++,5166,2448,32,70,167,2179,1283,120,1045,167416,333,1685
apache/incubator-mxnet,Java,117,23,0,0,0,23,12,3,8,7329,10,1310
apache/incubator-mxnet,JavaScript,121,60,0,0,2,58,34,2,24,15991,20,1279
apache/incubator-mxnet,Objective-C,26,6,0,0,0,6,0,6,0,1358,3,764
apache/incubator-mxnet,Perl,624,225,1,0,12,212,99,0,126,50459,22,993
apache/incubator-mxnet,Python,10363,4765,74,90,136,4465,2283,92,2390,386177,604,1627
apache/incubator-mxnet,Scala,2126,550,10,11,139,390,273,13,264,51900,58,1429
apache/incubator-weex,C,6610,717,8,37,21,651,489,31,197,438121,100,1268
apache/incubator-weex,C++,1348,318,3,17,22,276,175,13,130,134544,42,761
apache/incubator-weex,Java,14430,2579,35,78,104,2362,2383,55,141,479642,128,1325
apache/incubator-weex,JavaScript,9465,1753,10,8,12,1723,700,4,1049,1594537,82,1297
apache/incubator-weex,Objective-C,5301,1628,25,150,68,1385,1059,59,510,131556,146,1276
apache/incubator-weex,Python,67,0,0,0,0,0,0,0,0,22205,7,452
apache/openwhisk,C,11,2,0,0,0,2,2,0,0,31,5,574
apache/openwhisk,Go,746,173,1,0,20,152,67,0,106,31826,29,530
apache/openwhisk,Java,282,49,0,8,4,37,25,0,24,2732,35,1327
apache/openwhisk,JavaScript,393,55,1,0,0,54,35,0,20,11399,49,1322
apache/openwhisk,Python,293,59,1,0,1,57,25,0,34,5300,40,1329
apache/openwhisk,Scala,7489,1031,32,63,134,802,678,8,345,178595,121,1387
apache/openwhisk,Swift,123,14,0,0,0,14,9,0,5,1468,21,1181
apache/predictionio,Java,1141,39,0,0,0,39,7,0,32,9658,13,1634
apache/predictionio,JavaScript,542,16,0,0,0,16,10,1,5,67319,11,1634
apache/predictionio,Python,359,42,0,0,2,40,35,0,7,7141,26,2029
apache/predictionio,Ruby,55,4,0,0,0,4,1,1,2,788,8,1191
apache/predictionio,Scala,9656,913,38,9,8,858,333,35,545,201771,77,2468
apache/spark,C,26,0,0,0,0,0,0,0,0,49,4,1651
apache/spark,Java,8606,1885,15,111,257,1502,1708,28,149,315814,428,3537
apache/spark,JavaScript,209,52,2,2,2,46,48,0,4,10295,63,3296
apache/spark,Python,6242,1472,33,61,61,1317,1348,12,112,157879,541,3403
apache/spark,Ruby,47,9,0,0,0,9,8,0,1,507,28,2618
apache/spark,Scala,86113,22245,553,1026,2095,18571,20075,362,1808,1712826,1832,3538
apollographql/apollo-client,JavaScript,363,60,0,0,0,60,44,0,16,28119,31,1357
apollographql/apollo-client,TypeScript,5808,1213,4,15,139,1055,672,20,521,221329,256,1334
apple/swift,C,40613,6537,100,65,472,5900,4845,284,1408,547658,356,3433
apple/swift,C++,101525,20379,358,164,1194,18663,15999,668,3712,1956311,532,3433
apple/swift,JavaScript,9,2,0,0,0,2,1,0,1,719,7,2179
apple/swift,Objective-C,1321,240,3,4,39,194,198,3,39,27321,92,2758
apple/swift,Python,2700,612,1,5,26,580,363,12,237,55126,162,2695
apple/swift,Ruby,11,0,0,0,0,0,0,0,0,2179,4,711
apple/swift,Swift,132740,24359,1647,121,1848,20743,21065,411,2883,1597909,665,3432
apple/swift-package-manager,C,114,6,0,0,0,6,5,0,1,857,10,1288
apple/swift-package-manager,Swift,11841,1810,20,16,65,1709,1135,39,636,165782,236,1501
aria2/aria2,C,10965,1383,10,1,141,1231,847,35,501,153775,23,4957
aria2/aria2,C++,18687,2657,26,6,291,2334,1328,122,1207,310501,29,4984
aria2/aria2,Python,14,2,0,0,0,2,1,0,1,576,2,2103
arut/nginx-rtmp-module,C,1407,398,2,1,21,374,174,4,220,51485,10,2029
aspnet/AspNetCore,C,2304,198,8,18,22,150,115,1,82,114661,16,1184
aspnet/AspNetCore,C#,172271,20514,188,451,1231,18644,11082,355,9077,3478947,672,2190
aspnet/AspNetCore,C++,2014,154,12,9,19,114,112,5,37,151307,19,1184
aspnet/AspNetCore,Java,797,28,2,0,0,26,6,0,22,11459,5,482
aspnet/AspNetCore,JavaScript,4435,512,0,4,12,496,166,1,345,820537,78,2129
aspnet/AspNetCore,Python,197,1,0,0,0,1,0,0,1,16847,6,389
aspnet/AspNetCore,TypeScript,3933,718,1,11,20,686,249,2,467,94986,94,2029
aspnet/AspNetCore.Docs,C#,18678,2402,1,212,64,2125,1197,26,1179,380193,238,1712
aspnet/AspNetCore.Docs,JavaScript,6492,677,4,0,8,665,466,8,203,2673901,57,1708
aspnet/AspNetCore.Docs,Python,92,5,0,0,0,5,2,0,3,1729,11,626
aspnet/AspNetCore.Docs,TypeScript,76,14,0,0,0,14,10,0,4,1271,10,873
aspnet/EntityFrameworkCore,C#,94379,21051,334,278,1244,19195,14814,375,5862,2134172,214,2147
aspnet/Mvc,C#,40342,8071,94,17,605,7355,4632,125,3314,745148,196,1810
aspnet/Mvc,JavaScript,55,7,0,0,0,7,0,0,7,443,12,1230
aspnetboilerplate/aspnetboilerplate,C#,16842,4221,12,17,186,4006,2335,9,1877,236066,127,2305
aspnetboilerplate/aspnetboilerplate,JavaScript,1779,221,0,0,5,216,177,2,42,494310,27,2304
aspnetboilerplate/aspnetboilerplate,TypeScript,28,10,0,0,0,10,5,0,5,710,6,1152
astaxie/beego,Go,6842,1542,6,11,40,1485,572,1,969,304645,394,2814
atom/vim-mode,CoffeeScript,1502,370,7,17,13,333,183,2,185,19176,84,1020
awesomeWM/awesome,C,11793,1548,10,17,163,1358,1181,10,357,129882,126,4459
awesomeWM/awesome,Lua,4747,1250,10,10,58,1172,845,5,400,90290,159,4222
awesomeWM/awesome,Python,15,0,0,0,0,0,0,0,0,381,2,53
axios/axios,JavaScript,1060,208,5,0,9,194,91,1,116,47001,123,1938
axios/axios,TypeScript,62,10,0,0,0,10,6,1,3,836,30,1811
axkibe/lsyncd,C,345,62,0,3,3,56,22,4,36,15740,5,3569
axkibe/lsyncd,Lua,686,150,0,0,1,149,49,13,88,23786,19,2702
babel/babel,JavaScript,74572,12231,105,50,311,11765,5340,193,6698,903557,707,2634
babel/babel,TypeScript,62,17,0,0,0,17,9,0,8,311,17,560
bang590/JSPatch,C,316,48,0,0,2,46,14,6,28,28347,20,1038
bang590/JSPatch,JavaScript,183,38,0,0,1,37,19,10,9,6733,29,1038
bang590/JSPatch,Objective-C,444,121,0,2,17,102,74,12,35,12100,50,1038
barryvdh/laravel-debugbar,JavaScript,14,3,0,0,1,2,1,0,2,580,5,1482
barryvdh/laravel-debugbar,PHP,850,224,1,0,20,203,94,57,73,10988,93,2283
barryvdh/laravel-ide-helper,PHP,488,163,2,0,6,155,90,1,72,19303,114,2396
basecamp/pow,CoffeeScript,395,49,4,1,3,41,18,0,31,4373,11,2624
basecamp/pow,JavaScript,392,33,1,0,1,31,10,0,23,8816,13,2650
basecamp/trix,CoffeeScript,4817,836,1,7,65,763,422,9,405,43526,20,2108
basecamp/trix,JavaScript,89,0,0,0,0,0,0,0,0,32264,2,2086
basecamp/trix,Ruby,46,1,0,0,0,1,0,0,1,751,2,597
bcit-ci/CodeIgniter,JavaScript,121,21,0,0,0,21,7,0,14,3813,19,4623
bcit-ci/CodeIgniter,PHP,15851,3672,36,35,106,3495,1626,37,2009,284086,523,4811
bcit-ci/CodeIgniter,Python,75,4,0,0,0,4,2,0,2,513,15,2905
bergie/hallo,CoffeeScript,559,156,4,1,5,146,81,3,72,8053,27,2040
bergie/hallo,JavaScript,470,94,2,1,2,89,28,2,64,93712,19,1356
beyondgrep/ack1,PHP,24,2,0,0,0,2,1,0,1,393,4,967
beyondgrep/ack1,Perl,567,70,1,0,1,68,36,1,33,5134,23,2088
beyondgrep/ack2,Perl,898,108,2,0,1,105,46,2,60,13148,38,2966
bilibili/ijkplayer,C,3383,365,3,16,49,297,147,11,207,69036,30,1702
bilibili/ijkplayer,C++,113,3,0,0,0,3,1,0,2,8817,3,1554
bilibili/ijkplayer,Java,876,61,0,0,0,61,46,0,15,17653,21,1702
bilibili/ijkplayer,Objective-C,833,127,2,5,23,97,42,4,81,18121,30,1595
bitcoin/bitcoin,C,10081,1596,18,76,184,1318,959,56,581,184143,333,3750
bitcoin/bitcoin,C++,21901,3816,48,278,381,3109,2414,106,1296,396512,578,3754
bitcoin/bitcoin,Objective-C,30,9,0,1,1,7,9,0,0,394,16,2878
bitcoin/bitcoin,Python,4996,532,6,42,22,462,335,1,196,72697,210,3097
bitcoin/bitcoin,TypeScript,2806,249,0,0,60,189,121,0,128,782851,15,3020
blueimp/jQuery-File-Upload,Go,28,2,0,0,0,2,2,0,0,1033,3,2517
blueimp/jQuery-File-Upload,JavaScript,827,207,0,2,4,201,111,11,85,51344,62,3279
blueimp/jQuery-File-Upload,PHP,194,63,0,1,2,60,29,1,33,3537,30,3147
blueimp/jQuery-File-Upload,Python,24,0,0,0,0,0,0,0,0,356,2,1918
brendangregg/FlameGraph,Perl,217,45,0,3,2,40,18,2,25,4322,50,2869
briannesbitt/Carbon,PHP,12973,3404,0,0,63,3341,916,5,2483,399243,240,2650
briansmith/ring,C,15897,2720,244,48,350,2078,1084,36,1600,427492,111,1872
briansmith/ring,C++,3791,501,28,23,62,388,182,11,308,127866,61,1823
briansmith/ring,Go,2101,363,50,10,44,259,151,0,212,80038,32,1812
briansmith/ring,Perl,1174,247,2,0,16,229,76,3,168,64958,15,1849
briansmith/ring,Python,268,23,2,0,0,21,14,0,9,12632,25,1609
bumptech/glide,Java,15532,2999,23,196,296,2484,1734,52,1213,287178,141,2537
caddyserver/caddy,Go,8718,2819,6,62,39,2712,688,19,2112,934174,264,1786
capistrano/capistrano,JavaScript,106,3,0,0,0,3,3,0,0,33696,4,1565
capistrano/capistrano,Ruby,1419,494,0,6,19,469,180,0,314,14470,127,2430
carrierwaveuploader/carrierwave,Ruby,2776,555,2,25,72,456,269,5,281,37531,286,4047
ccgus/fmdb,C,258,33,2,1,0,30,20,1,12,4791,34,3124
ccgus/fmdb,Objective-C,452,111,2,7,7,95,67,5,39,11469,65,3124
ccgus/fmdb,Swift,10,0,0,0,0,0,0,0,0,236,4,1750
cdr/code-server,JavaScript,269,74,0,2,5,67,33,0,41,16851,9,295
cdr/code-server,TypeScript,1429,417,0,2,46,369,257,5,155,37476,18,335
cefsharp/CefSharp,C,3884,552,3,3,36,510,235,6,311,66692,88,3291
cefsharp/CefSharp,C#,6354,1053,6,20,57,970,449,14,590,81170,128,3290
cefsharp/CefSharp,C++,2023,331,3,3,16,309,176,1,154,28242,77,3290
certbot/certbot,C,12,0,0,0,0,0,0,0,0,161,2,1293
certbot/certbot,Python,14675,2786,46,28,43,2669,1126,47,1613,186246,290,2752
chaplinjs/chaplin,CoffeeScript,2082,281,2,2,3,274,188,2,91,31874,61,2606
chaplinjs/chaplin,JavaScript,811,33,0,1,0,32,18,2,13,58976,8,1455
chaplinjs/chaplin,Ruby,13,0,0,0,0,0,0,0,0,253,2,146
chartjs/Chart.js,JavaScript,4874,1204,20,1,27,1156,687,35,482,474429,229,2456
chocolatey/choco,C#,4080,812,2,37,51,722,570,8,234,67983,49,2169
chrisbanes/PhotoView,Java,560,113,0,3,8,102,50,6,57,10583,36,2325
chubin/cheat.sh,Python,379,44,0,0,3,41,19,1,24,9203,11,895
cjdelisle/cjdns,C,12808,1714,54,24,237,1399,1006,26,682,324279,98,3092
cjdelisle/cjdns,C++,441,0,0,0,0,0,0,0,0,5176,5,1229
cjdelisle/cjdns,JavaScript,675,85,0,0,3,82,45,1,39,37598,43,2659
cjdelisle/cjdns,Lua,50,1,0,0,0,1,0,0,1,1214,7,807
cjdelisle/cjdns,PHP,39,6,0,0,0,6,3,0,3,1781,8,2118
cjdelisle/cjdns,Perl,27,4,0,0,0,4,1,0,3,493,8,859
cjdelisle/cjdns,Python,698,22,0,0,0,22,12,0,10,53329,27,2243
cloudwu/skynet,C,2104,346,0,8,50,288,166,50,130,89524,53,2675
cloudwu/skynet,Lua,1737,304,0,11,22,271,126,32,146,34903,61,2684
cmusatyalab/openface,JavaScript,46,0,0,0,0,0,0,0,0,13465,5,1464
cmusatyalab/openface,Lua,238,54,1,0,16,37,4,0,50,6018,3,379
cmusatyalab/openface,Python,403,79,2,0,19,58,12,0,67,6669,19,928
cockroachdb/cockroach,C,1021,182,19,10,28,125,127,21,34,5702,50,1956
cockroachdb/cockroach,C++,1409,285,27,17,56,185,202,21,62,18202,52,1930
cockroachdb/cockroach,Go,104529,23048,818,1110,2256,18864,17568,682,4798,3212750,297,2128
cockroachdb/cockroach,Java,21,6,0,0,2,4,4,0,2,450,11,739
cockroachdb/cockroach,JavaScript,470,67,0,1,2,64,42,3,22,176925,35,1796
cockroachdb/cockroach,Python,58,15,0,0,1,14,8,0,7,1996,16,762
cockroachdb/cockroach,Ruby,49,5,0,0,0,5,1,0,4,406,17,823
cockroachdb/cockroach,TypeScript,4972,1285,5,13,38,1229,867,26,392,186940,65,1664
cocos2d/cocos2d-x,C,69404,11398,39,1172,439,9748,5835,107,5456,4779097,510,3444
cocos2d/cocos2d-x,C#,134,18,0,0,0,18,8,0,10,8331,10,1484
cocos2d/cocos2d-x,C++,50623,13394,117,227,1162,11888,7332,226,5836,2765874,701,3444
cocos2d/cocos2d-x,Java,1881,607,0,45,13,549,466,10,131,61471,117,3288
cocos2d/cocos2d-x,JavaScript,3239,694,4,25,24,641,485,6,203,277005,85,3076
cocos2d/cocos2d-x,Lua,9710,424,5,0,13,406,251,0,173,272339,97,3100
cocos2d/cocos2d-x,Objective-C,3465,1104,9,59,222,814,607,2,495,117550,196,3370
cocos2d/cocos2d-x,Python,1159,233,1,0,6,226,139,2,92,53475,78,3076
codecombat/codecombat,CoffeeScript,35220,5955,72,93,318,5472,2708,123,3124,702275,774,2167
codecombat/codecombat,JavaScript,2111,220,0,7,11,202,93,8,119,490093,40,2148
codecombat/codecombat,Python,134,34,0,0,0,34,20,0,14,2512,17,1666
commaai/openpilot,C,1942,120,1,0,0,119,76,2,42,339846,11,1060
commaai/openpilot,C++,406,15,0,0,0,15,12,0,3,44899,11,1086
commaai/openpilot,Python,2913,260,1,0,4,255,155,11,94,134690,65,1078
composer/composer,PHP,11055,4117,24,37,179,3877,1812,546,1759,141552,732,3163
containous/traefik,C,10,1,0,0,0,1,1,0,0,171,5,909
containous/traefik,Go,34376,4100,7,11,64,4018,2931,3,1166,3801405,267,1552
containous/traefik,JavaScript,270,4,0,0,0,4,3,0,1,7100,18,1537
containous/traefik,TypeScript,99,12,0,0,0,12,0,0,12,1527,8,443
ctripcorp/apollo,Java,5413,560,6,9,23,522,269,62,229,100241,64,1366
ctripcorp/apollo,JavaScript,724,134,1,5,2,126,64,22,48,44489,17,1349
curl/curl,C,31087,10234,124,210,1613,8287,4238,131,5865,469564,596,7273
curl/curl,C++,34,6,0,0,0,6,4,0,2,1214,12,6540
curl/curl,PHP,17,0,0,0,0,0,0,0,0,111,2,223
curl/curl,Perl,1701,377,4,7,25,341,178,8,191,34929,74,7273
curl/curl,Python,47,3,0,0,1,2,1,0,2,20697,12,2431
d3/d3,JavaScript,11002,3474,49,41,144,3240,1680,67,1727,248648,98,3339
danielgindi/Charts,C,697,44,0,0,0,44,35,0,9,19215,10,1106
danielgindi/Charts,Objective-C,961,124,0,1,0,123,78,0,46,12776,26,1450
danielgindi/Charts,Swift,4878,990,18,5,25,942,561,21,408,84349,134,1696
deepfakes/faceswap,Python,2358,1013,8,23,31,951,698,13,302,84517,67,723
denoland/deno,C,168,29,0,0,9,20,19,4,6,1125,12,545
denoland/deno,C++,416,81,0,0,13,68,55,4,22,6634,17,545
denoland/deno,Go,165,9,0,0,0,9,0,2,7,1988,10,39
denoland/deno,JavaScript,386,58,0,0,1,57,40,0,18,65302,29,572
denoland/deno,Python,724,99,0,3,6,90,67,0,32,8701,37,543
denoland/deno,TypeScript,5223,691,7,3,10,671,449,3,239,109434,119,575
diaspora/diaspora,JavaScript,6563,1075,11,21,51,992,513,19,543,158509,177,3412
diaspora/diaspora,Ruby,25879,3910,69,270,194,3377,1687,18,2205,211196,333,3415
dibyendumajumdar/ravi,Assembly,7,0,0,0,0,0,0,0,0,3326,1,30
dibyendumajumdar/ravi,C,2748,381,3,0,17,361,201,1,179,149014,7,1793
dibyendumajumdar/ravi,C++,807,140,0,0,17,123,78,0,62,25852,6,1788
dibyendumajumdar/ravi,Lua,398,68,1,0,2,65,28,0,40,24562,5,1792
dingo/api,PHP,2507,680,0,4,10,666,408,97,175,43206,107,2027
discourse/discourse,CoffeeScript,446,155,0,0,137,18,13,0,142,1109,13,14
discourse/discourse,JavaScript,35214,10669,162,76,449,9982,5356,133,5180,1289705,229,2494
discourse/discourse,Ruby,44944,16898,255,233,3035,13375,7863,229,8806,503314,494,2979
django/django,JavaScript,737,416,1,0,23,392,247,16,153,62967,79,5248
django/django,Python,63590,37226,239,475,1371,35141,19316,327,17583,818107,1609,5264
dmlc/xgboost,C,1837,365,20,4,31,310,169,12,184,49625,72,2133
dmlc/xgboost,C#,9,0,0,0,0,0,0,0,0,179,1,6
dmlc/xgboost,C++,2419,547,16,6,68,457,259,16,272,63297,98,2133
dmlc/xgboost,Java,401,81,3,9,0,69,46,0,35,10891,28,1698
dmlc/xgboost,Python,1197,312,8,2,15,287,139,5,168,26443,179,2115
dmlc/xgboost,Scala,771,266,8,3,2,253,102,0,164,16891,51,1410
dmotz/oriDomi,CoffeeScript,448,62,0,0,3,59,27,1,34,5304,4,912
dmotz/oriDomi,JavaScript,106,5,0,0,0,5,2,0,3,4077,2,1277
docker/compose,Python,5846,1219,20,43,38,1118,1006,1,212,74603,268,2176
docpad/docpad,CoffeeScript,1844,562,1,1,19,541,297,85,180,57645,38,2699
docpad/docpad,JavaScript,185,40,0,0,1,39,26,2,12,8996,2,2724
doczjs/docz,JavaScript,1036,261,12,0,5,244,138,10,113,11333,32,634
doczjs/docz,TypeScript,3216,911,35,2,33,841,365,28,518,32943,73,634
domnikl/DesignPatternsPHP,PHP,2226,319,4,1,1,313,234,7,78,16041,109,2944
domnikl/DesignPatternsPHP,Python,11,4,0,0,0,4,1,0,3,299,2,1598
donnemartin/interactive-coding-challenges,Python,1822,358,2,0,1,355,40,0,318,66103,40,1226
dotnet-architecture/eShopOnContainers,C#,7814,1128,2,28,26,1072,523,8,597,177204,99,1169
dotnet-architecture/eShopOnContainers,JavaScript,437,19,0,0,0,19,10,0,9,176876,16,978
dotnet-architecture/eShopOnContainers,TypeScript,440,108,0,0,0,108,40,1,67,4315,22,1110
dotnet/BenchmarkDotNet,C#,9328,2920,48,38,127,2707,1379,90,1451,114477,97,2300
dotnet/BenchmarkDotNet,JavaScript,23,0,0,0,0,0,0,0,0,621,3,923
dotnet/machinelearning,C,24,4,0,0,2,2,1,0,3,1262,8,530
dotnet/machinelearning,C#,23493,3235,40,39,87,3069,1618,6,1611,441780,117,585
dotnet/machinelearning,C++,56,18,1,0,7,10,6,0,12,6296,14,579
dotnet/orleans,C#,25167,3339,86,134,219,2900,2054,53,1232,501115,225,1782
dotnet/roslyn,C,103,21,0,0,0,21,17,0,4,847,9,477
dotnet/roslyn,C#,163351,27863,298,722,1071,25772,17080,432,10351,5176783,501,2093
dotnet/roslyn,C++,133,31,0,0,1,30,27,0,4,15519,11,888
drone/drone,C,35,8,0,0,0,8,8,0,0,728434,3,1781
drone/drone,Go,14724,1036,8,6,23,999,303,21,712,965297,248,2132
drone/drone,JavaScript,382,32,0,0,3,29,19,0,13,13591,14,859
dropbox/zxcvbn,CoffeeScript,228,39,0,0,3,36,18,0,21,6222,16,1804
dropbox/zxcvbn,JavaScript,104,7,0,0,0,7,3,0,4,152105,8,1806
dropbox/zxcvbn,Python,37,1,0,0,0,1,1,0,0,789,2,1350
duckduckgo/duckduckgo,JavaScript,10,0,0,0,0,0,0,0,0,1742,3,200
duckduckgo/duckduckgo,Perl,792,99,0,0,3,96,31,1,67,11583,32,2231
duckduckgo/zeroclickinfo-goodies,JavaScript,368,88,1,0,1,86,44,1,43,19640,50,1433
duckduckgo/zeroclickinfo-goodies,Perl,5703,761,4,2,22,733,337,16,408,96667,458,2854
dzenbot/DZNEmptyDataSet,C,628,31,0,0,2,29,7,0,24,4433,20,1062
dzenbot/DZNEmptyDataSet,Objective-C,607,82,1,0,6,75,54,0,28,16912,39,1331
eczarny/spectacle,C,625,45,4,0,0,41,33,0,12,3249,8,3397
eczarny/spectacle,JavaScript,79,8,0,0,0,8,6,0,2,667,3,344
eczarny/spectacle,Objective-C,1034,109,5,1,4,99,56,0,53,21738,15,3399
elastic/elasticsearch,Java,284957,47194,821,2481,4868,39024,34957,640,11597,5506919,724,3593
elastic/elasticsearch,JavaScript,62,0,0,0,0,0,0,0,0,913,5,612
elastic/elasticsearch,Perl,88,13,0,0,0,13,9,0,4,13864,11,1828
elastic/elasticsearch,Python,328,52,0,1,0,51,26,0,26,19080,33,2120
elastic/elasticsearch,Ruby,29,5,0,0,0,5,1,0,4,874,8,1040
elastic/kibana,Assembly,8,0,0,0,0,0,0,0,0,72,3,83
elastic/kibana,C#,8,0,0,0,0,0,0,0,0,16,3,83
elastic/kibana,C++,34,0,0,0,0,0,0,0,0,1041,4,433
elastic/kibana,CoffeeScript,177,3,0,0,0,3,0,0,3,4146,5,642
elastic/kibana,Go,8,0,0,0,0,0,0,0,0,136,3,83
elastic/kibana,Java,357,38,2,4,0,32,34,0,4,5553,9,2024
elastic/kibana,JavaScript,193296,29916,301,615,512,28488,14202,514,15200,11214227,400,2227
elastic/kibana,Lua,10,0,0,0,0,0,0,0,0,154,4,433
elastic/kibana,Objective-C,8,0,0,0,0,0,0,0,0,416,3,83
elastic/kibana,PHP,26,12,0,0,0,12,12,0,0,5247,4,200
elastic/kibana,Perl,15,2,0,0,0,2,2,0,0,2070,6,1533
elastic/kibana,Python,29,0,0,0,0,0,0,0,0,1595,7,2009
elastic/kibana,Ruby,124,9,0,0,0,9,4,0,5,1742,6,314
elastic/kibana,Scala,8,0,0,0,0,0,0,0,0,276,3,83
elastic/kibana,TypeScript,56905,15138,221,177,384,14356,10052,243,4843,1374113,234,2016
elastic/logstash,Java,2959,2131,24,107,111,1889,995,260,876,72138,36,3028
elastic/logstash,JavaScript,209,33,0,0,1,32,19,0,14,27474,7,2853
elastic/logstash,Ruby,11220,4335,63,243,165,3864,2414,207,1714,183159,340,3777
electron/electron,C,10456,1860,9,67,156,1628,792,21,1047,77881,194,2463
electron/electron,C++,15028,3226,21,98,285,2822,1785,42,1399,194810,259,2463
electron/electron,CoffeeScript,1862,336,0,2,12,322,162,9,165,14676,46,2369
electron/electron,JavaScript,6672,1195,10,28,58,1099,569,8,618,108443,235,2432
electron/electron,Objective-C,2298,475,12,26,21,416,232,2,241,27330,137,2463
electron/electron,Python,1401,356,5,10,7,334,156,1,199,16686,67,2432
electron/electron,TypeScript,644,143,1,8,7,127,60,0,83,32559,32,1128
emscripten-core/emscripten,C,9323,900,2,25,67,806,377,26,497,1173921,213,3389
emscripten-core/emscripten,C++,3453,375,0,47,40,288,236,5,134,441050,114,3393
emscripten-core/emscripten,CoffeeScript,25,8,0,0,0,8,5,1,2,629,3,427
emscripten-core/emscripten,JavaScript,13308,3431,20,135,309,2967,1658,76,1697,788094,398,3394
emscripten-core/emscripten,Lua,10,0,0,0,0,0,0,0,0,587,2,2140
emscripten-core/emscripten,Python,12182,2547,21,87,265,2174,1480,53,1014,198190,314,3394
envoyproxy/envoy,C,13730,2493,19,55,321,2098,1473,265,755,168316,303,1217
envoyproxy/envoy,C++,22783,4056,34,104,682,3236,2550,352,1154,512812,344,1217
envoyproxy/envoy,Go,12,5,0,0,0,5,5,0,0,355,10,1157
envoyproxy/envoy,Python,537,102,0,0,6,96,82,0,20,17718,81,1217
erusev/parsedown,PHP,500,108,0,0,3,105,71,2,35,9121,31,2068
esp8266/Arduino,C,3527,961,3,34,92,832,410,29,522,205385,214,1849
esp8266/Arduino,C++,1973,635,9,19,93,514,324,34,277,155943,215,1845
esp8266/Arduino,Python,244,68,0,1,1,66,35,0,33,5774,49,1617
etcd-io/etcd,C,12,1,0,0,0,1,0,0,1,91,8,1871
etcd-io/etcd,Go,31927,4801,91,259,199,4252,2437,37,2327,1816137,367,2378
etcd-io/etcd,JavaScript,140,21,0,0,0,21,16,0,5,26391,7,309
etcd-io/etcd,Python,12,0,0,0,0,0,0,0,0,441,10,2018
ethereum/go-ethereum,C,745,32,0,0,0,32,11,0,21,195483,11,1771
ethereum/go-ethereum,C++,172,6,0,0,0,6,0,0,6,94923,6,1754
ethereum/go-ethereum,Go,32566,6015,85,411,550,4969,3511,95,2409,2305161,461,2174
ethereum/go-ethereum,JavaScript,1108,188,0,0,14,174,78,9,101,56008,34,2033
ethereum/go-ethereum,Perl,51,8,0,0,0,8,8,0,0,1277,5,1375
ethereum/go-ethereum,Python,49,7,0,0,0,7,3,0,4,3551,11,1618
eugenp/tutorials,Java,47288,4162,83,223,618,3238,1677,43,2442,822712,887,2416
eugenp/tutorials,JavaScript,2818,26,0,0,0,26,25,0,1,624793,51,1863
eugenp/tutorials,Python,12,0,0,0,0,0,0,0,0,581,6,1831
