project,language,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
FFmpeg/FFmpeg,Assembly,2231,412,0,2,38,372,299,7,106,107507,94,4088
FFmpeg/FFmpeg,C,140974,31267,187,637,6190,24253,22549,1073,7645,2978354,1922,6930
FFmpeg/FFmpeg,C++,225,54,0,1,10,43,42,1,11,5420,48,6152
FFmpeg/FFmpeg,Objective-C,46,9,0,0,0,9,6,2,1,3189,17,1967
FFmpeg/FFmpeg,Perl,45,8,1,0,0,7,4,0,4,1454,17,4786
FFmpeg/FFmpeg,Python,17,0,0,0,0,0,0,0,0,601,3,2408
FelisCatus/SwitchyOmega,CoffeeScript,548,308,1,4,16,287,117,9,182,7138,2,1436
FelisCatus/SwitchyOmega,JavaScript,36,19,3,1,0,15,9,0,10,895,1,1271
Flipboard/FLEX,C,467,55,1,0,0,54,18,0,37,5135,36,2007
Flipboard/FLEX,Objective-C,1257,199,5,1,16,177,92,1,106,29958,64,2011
FriendsOfPHP/PHP-CS-Fixer,PHP,15214,3760,34,11,165,3550,1437,21,2302,320059,247,2762
Genymobile/scrcpy,C,1123,285,1,25,36,223,192,9,84,16031,20,727
Genymobile/scrcpy,Java,325,82,0,0,10,72,69,0,13,4339,9,723
GoogleCloudPlatform/microservices-demo,C#,60,15,0,0,6,9,13,0,2,8156,4,424
GoogleCloudPlatform/microservices-demo,Go,356,56,0,0,0,56,37,0,19,29339,16,388
GoogleCloudPlatform/microservices-demo,Java,13,1,0,0,0,1,1,0,0,661,4,294
GoogleCloudPlatform/microservices-demo,JavaScript,53,15,0,0,2,13,10,0,5,674,7,334
GoogleCloudPlatform/microservices-demo,Python,68,10,0,0,5,5,6,0,4,5952,9,463
HangfireIO/Hangfire,C#,10888,1231,16,97,57,1061,576,60,595,182204,97,2310
HangfireIO/Hangfire,JavaScript,262,24,0,0,1,23,8,1,15,115055,10,2265
HangfireIO/Hangfire,Python,10,2,0,0,0,2,0,0,2,283,2,140
HeroTransitions/Hero,Swift,1080,351,0,9,1,341,168,6,177,15025,54,1046
Homebrew/brew,Ruby,32926,5069,65,45,126,4833,2222,65,2782,319206,661,3856
Homebrew/brew,Swift,10,5,0,0,0,5,4,0,1,164,3,858
Homebrew/homebrew-cask,Ruby,113085,5501,47,23,93,5338,2663,12,2826,332472,7266,2832
Homebrew/homebrew-core,Ruby,181900,12278,32,47,499,11700,4615,46,7617,841651,10748,3841
IBAnimatable/IBAnimatable,Swift,5782,1155,0,6,133,1016,557,9,589,52474,42,1454
IBM-Swift/Kitura,Swift,1721,263,4,2,13,244,190,3,70,43215,79,1367
IdentityServer/IdentityServer4,C#,9772,394,7,0,9,378,167,3,224,158846,88,1480
IdentityServer/IdentityServer4,JavaScript,504,2,0,0,0,2,0,0,2,569120,3,1435
Instagram/IGListKit,C,958,209,2,5,4,198,185,0,24,5873,81,1149
Instagram/IGListKit,Objective-C,1087,322,6,14,21,281,253,0,69,19707,99,1148
Instagram/IGListKit,Swift,708,130,0,13,0,117,125,0,5,5829,41,1135
Instagram/IGListKit,TypeScript,20,1,0,0,0,1,1,0,0,1013,5,551
Intervention/image,PHP,1588,402,0,0,3,399,58,36,308,26936,88,2477
JakeWharton/butterknife,Java,2111,132,0,0,18,114,75,15,42,42841,57,2438
JamesNK/Newtonsoft.Json,C#,11547,3704,11,80,29,3584,2104,150,1450,414797,103,4463
JeffreySu/WeiXinMPSDK,C#,21890,152,0,0,0,152,99,0,53,406833,130,2519
JeffreySu/WeiXinMPSDK,JavaScript,523,4,0,0,0,4,4,0,0,228543,8,2500
JeremySkinner/FluentValidation,C#,4357,722,3,6,47,666,231,2,489,78726,122,3635
JohnCoates/Aerial,Swift,742,214,4,0,38,172,101,0,113,21822,11,1501
KnightOS/KnightOS,Assembly,1205,227,0,14,16,197,109,32,86,67981,14,880
KnightOS/KnightOS,C#,58,18,0,0,1,17,9,5,4,1205,2,223
Kong/kong,Lua,15167,3411,58,76,268,3009,1812,93,1506,394216,164,1849
Kong/kong,Perl,9,1,0,0,0,1,1,0,0,187,5,450
Kong/kong,Python,15,0,0,0,0,0,0,0,0,451,1,68
Leonidas-from-XIV/node-xml2js,CoffeeScript,227,50,0,0,1,49,25,0,25,2687,48,3007
Leonidas-from-XIV/node-xml2js,JavaScript,150,37,0,0,1,36,17,0,20,2046,41,3334
MahApps/MahApps.Metro,C#,4789,1073,16,12,82,963,499,8,566,132375,168,3234
Mantle/Mantle,C,466,59,0,0,5,54,20,0,39,6024,37,2062
Mantle/Mantle,Objective-C,964,165,1,0,15,149,85,1,79,15284,44,1394
MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,1659,320,1,9,13,297,190,4,126,46826,86,1764
MonoGame/MonoGame,C#,20147,5469,45,245,411,4768,2940,250,2279,713740,375,3738
Moya/Moya,C,1915,44,0,0,0,44,40,1,3,20840,10,913
Moya/Moya,Objective-C,718,20,0,0,0,20,20,0,0,32677,7,132
Moya/Moya,Swift,3755,571,0,10,25,536,302,15,254,96772,115,1789
NancyFx/Nancy,C#,11854,1776,25,50,99,1602,794,32,950,207187,329,3221
NancyFx/Nancy,JavaScript,70,7,0,0,0,7,6,0,1,4856,8,1842
NancyFx/Nancy,Ruby,65,12,0,0,0,12,6,0,6,868,11,2246
