project,class,commits,bcommits,tins,devs,max_commit_age
IBAnimatable/IBAnimatable,Functional_Static_Disallow_Managed,5782,1155,52474,42,1454
IBM-Swift/Kitura,Functional_Static_Disallow_Managed,1721,263,43215,79,1367
IdentityServer/IdentityServer4,Procedural_Static_Disallow_Managed,9772,394,158846,88,1480
IdentityServer/IdentityServer4,Scripting_Dynamic_Allow_Managed,504,2,569120,3,1435
Instagram/IGListKit,Functional_Static_Disallow_Managed,708,130,5829,41,1135
Instagram/IGListKit,Procedural_Static_Allow_Unmanaged,2045,531,25580,114,1149
Intervention/image,Scripting_Dynamic_Allow_Managed,1588,402,26936,88,2477
JakeWharton/butterknife,Procedural_Static_Disallow_Managed,2111,132,42841,57,2438
JamesNK/Newtonsoft.Json,Procedural_Static_Disallow_Managed,11547,3704,414797,103,4463
JeffreySu/WeiXinMPSDK,Procedural_Static_Disallow_Managed,21890,152,406833,130,2519
JeffreySu/WeiXinMPSDK,Scripting_Dynamic_Allow_Managed,523,4,228543,8,2500
JeremySkinner/FluentValidation,Procedural_Static_Disallow_Managed,4357,722,78726,122,3635
JohnCoates/Aerial,Functional_Static_Disallow_Managed,742,214,21822,11,1501
KnightOS/KnightOS,Procedural_Static_Disallow_Managed,58,18,1205,2,223
Kong/kong,Procedural_Dynamic_Allow_Managed,15167,3411,394216,164,1849
Kong/kong,Scripting_Dynamic_Allow_Managed,9,1,187,5,450
Kong/kong,Scripting_Dynamic_Disallow_Managed,15,0,451,1,68
Leonidas-from-XIV/node-xml2js,Scripting_Dynamic_Allow_Managed,377,87,4733,50,3334
MahApps/MahApps.Metro,Procedural_Static_Disallow_Managed,4789,1073,132375,168,3234
Mantle/Mantle,Procedural_Static_Allow_Unmanaged,1430,224,21308,53,2062
MaterialDesignInXAML/MaterialDesignInXamlToolkit,Procedural_Static_Disallow_Managed,1659,320,46826,86,1764
MonoGame/MonoGame,Procedural_Static_Disallow_Managed,20147,5469,713740,375,3738
Moya/Moya,Functional_Static_Disallow_Managed,3755,571,96772,115,1789
Moya/Moya,Procedural_Static_Allow_Unmanaged,2633,64,53517,10,913
NancyFx/Nancy,Procedural_Static_Disallow_Managed,11854,1776,207187,329,3221
NancyFx/Nancy,Scripting_Dynamic_Allow_Managed,70,7,4856,8,1842
NancyFx/Nancy,Scripting_Dynamic_Disallow_Managed,65,12,868,11,2246
NationalSecurityAgency/ghidra,Procedural_Static_Allow_Unmanaged,523,94,135650,16,244
NationalSecurityAgency/ghidra,Procedural_Static_Disallow_Managed,15325,2556,2085466,42,260
NationalSecurityAgency/ghidra,Scripting_Dynamic_Disallow_Managed,50,12,14515,9,199
NativeScript/NativeScript,Procedural_Static_Allow_Unmanaged,35,2,751,8,1267
NativeScript/NativeScript,Procedural_Static_Disallow_Managed,382,88,24113,36,1582
NativeScript/NativeScript,Scripting_Dynamic_Allow_Managed,247,45,16902,30,1736
Netflix/Hystrix,Procedural_Static_Disallow_Managed,3307,453,163335,95,2215
Netflix/Hystrix,Scripting_Dynamic_Allow_Managed,29,11,1006,12,1859
Netflix/atlas,Functional_Static_Disallow_Managed,5228,1666,67990,18,1824
Netflix/atlas,Procedural_Static_Disallow_Managed,69,23,898,4,1756
NickeManarin/ScreenToGif,Procedural_Static_Disallow_Managed,3130,773,206413,27,2239
OpenEmu/OpenEmu,Functional_Static_Disallow_Managed,164,35,6200,8,1466
OpenEmu/OpenEmu,Procedural_Static_Allow_Unmanaged,28586,3923,2079114,86,3960
OpenKore/openkore,Procedural_Static_Allow_Unmanaged,9107,302,1144389,26,5626
OpenKore/openkore,Procedural_Static_Disallow_Managed,169,20,11335,4,3481
OpenKore/openkore,Scripting_Dynamic_Allow_Managed,38647,5288,4004120,124,5868
OpenKore/openkore,Scripting_Dynamic_Disallow_Managed,7704,378,776349,12,4829
OpenNMT/OpenNMT,Procedural_Dynamic_Allow_Managed,2714,471,59729,44,838
OpenNMT/OpenNMT,Scripting_Dynamic_Disallow_Managed,53,2,2526,13,619
OpenRA/OpenRA,Procedural_Dynamic_Allow_Managed,1366,285,38916,40,2144
OpenRA/OpenRA,Procedural_Static_Allow_Unmanaged,321,59,7056,6,2320
OpenRA/OpenRA,Procedural_Static_Disallow_Managed,58403,10056,601210,290,4555
OpenRA/OpenRA,Scripting_Dynamic_Allow_Managed,31,0,412,4,190
Openarl/PathOfBuilding,Procedural_Dynamic_Allow_Managed,4619,1351,506990,35,1315
PHPMailer/PHPMailer,Scripting_Dynamic_Allow_Managed,1609,300,44010,169,4045
PHPOffice/PHPExcel,Scripting_Dynamic_Allow_Managed,4471,1038,284133,66,2225
PerfectlySoft/Perfect,Functional_Static_Disallow_Managed,1625,123,45778,37,1254
PerfectlySoft/Perfect,Procedural_Static_Allow_Unmanaged,3198,14,414120,4,231
PhilJay/MPAndroidChart,Procedural_Static_Disallow_Managed,7343,1740,144887,63,1827
PowerShell/PowerShell,Procedural_Static_Allow_Unmanaged,1062,138,24193,38,1327
PowerShell/PowerShell,Procedural_Static_Disallow_Managed,22375,3772,1343590,205,1656
PowerShell/PowerShell,Scripting_Dynamic_Allow_Managed,7,3,112,1,839
Quick/Quick,Functional_Static_Disallow_Managed,1530,150,13234,60,1960
Quick/Quick,Procedural_Static_Allow_Unmanaged,556,59,3577,39,1929
ReactTraining/react-router,Scripting_Dynamic_Allow_Managed,8671,1552,576300,291,1990
ReactiveCocoa/ReactiveCocoa,Functional_Static_Disallow_Managed,5263,505,106572,141,2000
ReactiveCocoa/ReactiveCocoa,Procedural_Static_Allow_Unmanaged,8169,696,90480,102,2839
ReactiveX/RxJava,Functional_Static_Disallow_Managed,1049,119,22463,24,579
ReactiveX/RxJava,Procedural_Static_Disallow_Managed,34234,10046,1471601,231,2808
